name,values,default,days
hasAuction,true / false,true,
hasAwardingOrder,true,true,
hasValueRestriction,true / false,true,
valueCurrencyEquality,true,true,
hasPrequalification,false,false,
minBidsNumber,1,1,
hasPreSelectionAgreement,false,false,
hasTenderComplaints,false,false,
hasAwardComplaints,false,false,
hasCancellationComplaints,false,false,
hasValueEstimation,true,true,
hasQualificationComplaints,false,false,
tenderComplainRegulation,0,0,
qualificationComplainDuration,0,0,
awardComplainDuration,2,2,
cancellationComplainDuration,0,0,
clarificationUntilDuration,1,1,working
qualificationDuration,0,0,
minTenderingDuration,2,2,working
hasEnquiries,true,true,
minEnquiriesDuration,3,3,working
enquiryPeriodRegulation,0,0,
restricted,false,false,
