rule,value
$.items[*].deliveryDate.startDate,1970-01-01T03:00:00+03:00
$.items[*].deliveryDate.endDate,1970-01-01T03:00:00+03:00
$.items[*].deliveryAddress.streetAddress,Приховано
$.items[*].deliveryAddress.locality,Приховано
$.items[*].deliveryAddress.region,Приховано
$.items[*].deliveryAddress.postalCode,Приховано
$.items[*].deliveryAddress.countryName,Приховано
$.items[*].deliveryAddress.countryName_en,Hidden
$.items[*].deliveryAddress.countryName_ru,Приховано
$.items[*].deliveryLocation.latitude,0.0
$.items[*].deliveryLocation.longitude,0.0
$.suppliers[*].name,Приховано
$.suppliers[*].name_en,Hidden
$.suppliers[*].name_ru,Приховано
$.suppliers[*].identifier.id,Приховано
$.suppliers[*].identifier.legalName,Приховано
$.suppliers[*].identifier.legalName_en,Hidden
$.suppliers[*].identifier.legalName_ru,Приховано
$.suppliers[*].address.streetAddress,Приховано
$.suppliers[*].address.locality,Приховано
$.suppliers[*].address.region,Приховано
$.suppliers[*].address.postalCode,Приховано
$.suppliers[*].address.countryName,Приховано
$.suppliers[*].address.countryName_en,Hidden
$.suppliers[*].address.countryName_ru,Приховано
$.suppliers[*].contactPoint.telephone,Приховано
$.suppliers[*].contactPoint.email,Приховано
$.suppliers[*].contactPoint.faxNumber,Приховано
$.suppliers[*].contactPoint.url,Приховано
$.suppliers[*].contactPoint.name,Приховано
$.suppliers[*].contactPoint.name_en,Hidden
$.suppliers[*].contactPoint.name_ru,Приховано
$.suppliers[*].additionalContactPoints[*].telephone,Приховано
$.suppliers[*].additionalContactPoints[*].email,Приховано
$.suppliers[*].additionalContactPoints[*].faxNumber,Приховано
$.suppliers[*].additionalContactPoints[*].url,Приховано
$.suppliers[*].additionalContactPoints[*].name,Приховано
$.suppliers[*].additionalContactPoints[*].name_en,Hidden
$.suppliers[*].additionalContactPoints[*].name_ru,Приховано
$.suppliers[*].scale,Приховано
$.suppliers[*].signerInfo.name,Приховано
$.suppliers[*].signerInfo.email,Приховано
$.suppliers[*].signerInfo.telephone,Приховано
$.suppliers[*].signerInfo.iban,Приховано
$.suppliers[*].signerInfo.position,Приховано
$.suppliers[*].signerInfo.authorizedBy,Приховано
$.changes[*].rationale,Приховано
$.changes[*].rationale_ru,Приховано
$.changes[*].rationale_en,Приховано
$..documents[*].title,Приховано
$..documents[*].url,Приховано
