procurementMethodType,values,default
aboveThreshold,"true,false",true
aboveThresholdEU,"true,false",true
aboveThresholdUA.defense,"true,false",true
aboveThresholdUA,"true,false",true
belowThreshold,"true,false",true
closeFrameworkAgreementSelectionUA,true,true
closeFrameworkAgreementUA,true,true
competitiveDialogueEU,false,false
competitiveDialogueEU.stage2,true,true
competitiveDialogueUA,false,false
competitiveDialogueUA.stage2,true,true
esco,true,true
negotiation,false,false
negotiation.quick,false,false
priceQuotation,false,false
reporting,false,false
simple.defense,"true,false",true
