procurementMethodType,values,default,days
aboveThreshold,3,3,calendar
competitiveOrdering,0 / 3,0,
competitiveOrdering.short,0,0,
competitiveOrdering.long,3,3,calendar
aboveThresholdEU,4,4,calendar
aboveThresholdUA.defense,2,2,working
aboveThresholdUA,4,4,calendar
belowThreshold,0,0,
closeFrameworkAgreementSelectionUA,0,0,
closeFrameworkAgreementUA,4,4,calendar
competitiveDialogueEU,4,4,calendar
competitiveDialogueEU.stage2,4,4,calendar
competitiveDialogueUA,4,4,calendar
competitiveDialogueUA.stage2,4,4,calendar
esco,4,4,calendar
negotiation,0,0,
negotiation.quick,0,0,
priceQuotation,0,0,
reporting,0,0,
simple.defense,2,2,working
requestForProposal,0,0,
