rolename,status,selfEligible,lotValues,subcontractingDetails,date,financialDocuments,tenderers,owner,qualificationDocuments,__parent__,documents,parameters,eligibilityDocuments,value,id,owner_token,selfQualified,participationUrl,serialize_status
active.awarded,1,1,1,1,1,1,1,,1,,1,1,1,1,1,,1,1,
unsuccessful,1,1,1,1,1,1,1,,1,,1,1,1,1,1,,1,1,
invalid.pre-qualification,1,,,,,,1,,,,1,,1,,1,,,,
bid.unsuccessful,1,1,,1,,,1,,,,1,1,1,,1,,1,,
create,1,1,1,1,,1,1,,1,,1,1,1,1,,,1,,
invalid,1,,,,,,,,,,,,,,1,,,,
auction_post,,,1,,1,,,,,,,,,1,1,,,,
active.tendering,,,,,,,,,,,,,,,,,,,
active.enquiries,,,,,,,,,,,,,,,,,,,
complete,1,1,1,1,1,1,1,,1,,1,1,1,1,1,,1,1,
auction_view,1,,1,,1,,,,,,,1,,1,1,,,1,
deleted,1,,,,,,,,,,,,,,1,,,,
auction_patch,,,1,,,,,,,,,,,,1,,,1,
Administrator,,,,,,,1,,,,,,,,,,,,
cancelled,1,1,1,1,1,1,1,,1,,1,1,1,1,1,,1,1,
active.pre-qualification,1,,,,,,1,,,,1,,1,,1,,,,
active.qualification,1,1,1,1,1,1,1,,1,,1,1,1,1,1,,1,1,
embedded,1,1,1,1,1,1,1,,1,,1,1,1,1,1,,1,1,
edit,1,,1,1,,,1,,,,,1,,1,,,,,
default,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1
active.auction,1,,,,,,1,,,,1,,1,,1,,,,
active.pre-qualification.stand-still,1,,,,,,1,,,,1,,1,,1,,,,
view,1,1,1,1,1,1,1,,1,,1,1,1,1,1,,1,1,
